	Job Title	Salary Estimate	Job Description	Rating	Company Name	Location	Size	Founded	Type of ownership	Industry	Sector	Revenue	Compensation_and_Benefits	Culture_and_Values	Career_Opportunities	Work_Life_Balance
0	Data Scientist	$64K - $106K (Glassdoor est.)	"Secure our Nation, Ignite your Future
Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques."	4.2	"ManTech International Corporation
4.2"	Alexandria, VA	5001 to 10000 Employees	1968	Company - Public	Research & Development	Business Services	$1 to $2 billion (USD)	4.2 	4.1 	4.1	4.1
1	Principal Data Scientist	$64K - $106K (Glassdoor est.)	"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value"	4.2	"GEICO
3.5"	Chevy Chase, MD	10000+ Employees	1936	Subsidiary or Business Segment	Insurance Carriers	Insurance	$10+ billion (USD)	4.0 	3.5 	3.8	3.1
2	CLINICAL LABORATORY SCIENTIST	$64K - $106K (Glassdoor est.)	"Title: CLINICAL LABORATORY SCIENTIST-
A.M./P.M.
Job Code: 500285
Department/Location:
Department of
Laboratories
FLSA Status: NE
Reports to:

Location: White Plains Hospital · Lab AM/PM Techs
Schedule: Per Diem, Evening, VARIED EVE 4P-12A ROTATING WKN/HOLIDAY"	4.2	"White Plains Hospital
3.8"	White Plains, NY	1001 to 5000 Employees	1893	Hospital	Health Care Services & Hospitals	Health Care	$100 to $500 million (USD)	3.9 	3.7 	4.0	3.5
3	Solid Form Scientist	$64K - $106K (Glassdoor est.)	"The ideal Solid Form Scientist candidate will have a strong background working in a GMP laboratory based role with broad experience of running and developing solid form properties and spectroscopic methods for analysis of multiple components in the presence of complex matrices. They will be able to demonstrate a deep knowledge of analytical science. The candidate will also have a strong track record of external communication and collaboration.
Key Responsibilities/Accountabilities:
To perform this job successfully, an individual must be able to perform each essential function satisfactorily.
Will work closely with other materials science experts and analytical teams to provide quality data and solid form characterization / surface properties methods which can be used to support regulatory documentation (e.g. new drug applications)."	4.2	"LGC Limited
3.5"	Petaluma, CA	1001 to 5000 Employees	1842	Company - Private	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	Unknown / Non-Applicable	2.8 	3.2 	3.1	3.5
4	Senior Scientist	$64K - $106K (Glassdoor est.)	"Position Summary:
The Senior Scientist is a multi-disciplinary molecular biology position that will provide leadership to the organization as part of the Integrated Solutions team, bringing curiosity, problem solving skills, and scientific acumen to LGC. The Integrated Solutions team supports various wings of the organization such as Research and Development, Sales, Marketing, Customer Service, and Manufacturing.
The scope of this position will include scientific leadership of new product development, research into previously unexplored areas, development of applications for existing products, and continued customer support. This may include developing new testing methodologies, troubleshooting data, converting potential customers to LGC products, and searching literature for emerging technologies in relevant fields. This position will require extensive knowledge from genomics, molecular biology, chemistry, PCR-based genetic analysis, and laboratory automation."	4.2	"LGC Limited
3.5"	Alexandria, MN	1001 to 5000 Employees	1842	Company - Private	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	Unknown / Non-Applicable	2.8 	3.2 	3.1	3.5
5	Senior Development Scientist	$64K - $106K (Glassdoor est.)	"Sr. Development Scientist GSK
Supports and leads new product development by developing formulations and/or providing analysis and evaluation of material and products at all stages of the development process, considering scientific and timing objectives
Should have various levels of involvement and leadership in the development of conventional and non-conventional solid, semi-solid, liquid, and other formulations.
Basic Qualifications:
Bachelor’s degree in a Chemical, Pharmaceutical, Nutritional, or related science"	4.2	ExecuPharm FSP	Richmond, VA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	Data Scientist	$64K - $106K (Glassdoor est.)	"Who Are We?
QinetiQ Inc. is a leading innovator with over 25 years of experience rapidly developing advanced C5ISR sensor solutions and is a renowned world leader in robotics and autonomy.
The combined QinetiQ U.S. business unit brings capabilities across the full lifecycle of technology development from applied research and development to rapid prototyping, testing, fielding, and sustainment. Our expertise with unmanned platforms, broad sensing modalities, and cross-domain interoperability ensures that we deliver integrated solutions for Warfighter dominance in all phases of combat.
We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms and systems, ground systems, soldier systems, maritime systems, airborne sensors and payloads, processing and exploitation capabilities, and integrated C2 solutions. Much of our work contributes to innovative research in ﬁelds such as sensor science, signal processing, data fusion, artiﬁcial intelligence (AI), machine learning (ML), and augmented reality (AR)."	4.2	"QinetiQ Inc.
2.5"	Lorton, VA	501 to 1000 Employees	1956	Subsidiary or Business Segment	Aerospace & Defense	Aerospace & Defense	$50 to $100 million (USD)	2.7 	2.9 	2.8	3.0
7	Scientist I, Analytical Development	$64K - $106K (Glassdoor est.)	"DESCRIPTION
The scientist I will be responsible for analytical method development and transfer under general supervision.
JOB DESCRIPTION
The key responsibilities of this role will be to help develop, transfer, optimize and qualify/validate test methods for client projects. The Scientist I will be required to have practical experience with one or more analytical methods, preferably in a cGMP environment. These assays include, but are not limited to, cell-based assays (potency, activity), viral titration methods (plaque assay, TCID50), ddPCR, qPCR, HPLC, ELISA, FACS. This role will also be responsible for maintaining mammalian tissue cultures."	4.2	Matica Biotechnology	College Station, TX	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	Scientist - Flow Cytometry	$64K - $106K (Glassdoor est.)	"Overview :
Medpace is a full-service clinical contract research organization (CRO). We provide Phase I-IV clinical development services to the biotechnology, pharmaceutical and medical device industries. Our mission is to accelerate the global development of safe and effective medical therapeutics through its scientific and disciplined approach. We leverage local regulatory and therapeutic expertise across all major areas including oncology, cardiology, metabolic disease, endocrinology, central nervous system, anti-viral and anti-infective. Headquartered in Cincinnati, Ohio, employing approximately 3,500 people across almost 40 countries.
Job Summary:
Our clinical laboratory activities are growing rapidly, and we are currently looking to add to our scientific team. The Senior Scientist/Scientist (based on experience) will act as a leader in the department and will participate in and direct research and development within the laboratory. S/he will aid in the development and growth of the flow cytometry area and will oversee the daily operations and flow cytometry method validations. The ideal candidate will have strong critical thinking and problem solving abilities. This position will be a full-time, office-based position in Cincinnati, OH.
Responsibilities :
Qualifications :
Why Medpace?:"	4.2	"Medpace, Inc.
3.0"	Cincinnati, OH	1001 to 5000 Employees	1992	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$100 to $500 million (USD)	2.6 	2.8 	3.0	2.8
9	Staff Data Scientist	$64K - $106K (Glassdoor est.)	"WHO WE ARE:
Voted one of the Top 100 Fastest Growing Companies in the Bay Area for 2020, Freedom Financial Network is a family of companies that takes a people-first approach to financial services, using technology to empower consumers to overcome debt and create a brighter financial future. The company was founded in 2002 by Brad Stroh and Andrew Housser on the belief that by staying committed to helping people, you can ensure better financial outcomes for both the customer and the business. This Heart/$ philosophy still guides the vision of our growing company, which has helped millions of people find solutions for their financial needs.
What began with 2 people in a spare bedroom has now rapidly expanded to a vibrant business that employs over 2000 employees (known internally as The Freedom Family) in two locations: San Mateo, CA and Tempe, AZ. When you visit either of our offices, you’ll understand why our employees have voted us the Best Place to Work for the last several years. It’s a place where the Heart/$ philosophy continues to thrive, where we believe that success is only achieved by doing what’s right for our customers, our employees, and our communities.
Some of the key responsibilities for the Analytic Scientist will include:"	4.2	"Freedom Financial Network
3.5"	Tempe, AZ	1001 to 5000 Employees	2002	Company - Private	Investment Banking & Asset Management	Finance	$500 million to $1 billion (USD)	3.8 	3.7 	3.7	3.8
